"GRB_Name","z","log10T90","log10Fluence","log10PeakFlux","PhotonIndex","log10NH","log10Fa","log10Ta","Alpha","Beta","log10PeakFluxErr","PhotonIndexErr","log10FaErr","log10TaErr","AlphaErr","BetaErr"
"100219A",4.67,1.34576569311449,-6.431798275933,-0.397940008672038,1.34,21.7098353631218,-12.92,3.37,1.67,1.27,0.108573620475813,0.25,0.1,0.07,0.18,0.08
"100316B",1.18,0.57978359661681,-6.69897000433602,0.113943352306837,2.23,21.4131521794925,-11.7542,4.081453,1.967914,1.14,0.0334072678387117,0.18,0.27115,0.206598,0.187277,0.14
"100316D",0.06,2.71757065371296,-6.52287874528034,-1,2.29,21.6072898526736,-12.9424,6.41,2.12,0.94,0.072382413650542,0.41,0.105554,0.06,0.18,0.05
"100508A",0.5201,1.7160033436348,-6.15490195998574,-0.397940008672038,1.23,21.6926962555066,-12.8769,4.020463,0.875389,0.4,0.217147240951626,0.25,0.15766,0.387989,0.292399,0.07
"100513A",4.772,1.92427928606188,-5.85387196432176,-0.221848749616356,1.62,22.0524053421922,-13.0903,4.323621,1.387361,1.2,0.072382413650542,0.14,0.168576,0.213691,0.282343,0.1
"100621A",0.54,1.80311555489003,-4.67778070526608,1.10720996964787,1.9,22.2845480339141,-11.87,4.18,1.55,0.78,0.0101787769196075,0.03,0.03,0.02,0.05,0.09
"100814A",1.439,2.2417954312952,-5.04575749056067,0.397940008672038,1.47,21.3920001167197,-12.9168,5.59489,2.25952,0.41063,0.0347435585522601,0.04,0.0267,0.013105,0.052845,0.04311
"100901A",1.41,2.64001409543392,-5.67778070526608,-0.0969100130080564,1.52,21.4796472787694,-12.17,4.9,1.6,0.74,0.108573620475813,0.21,0.02,0.02,0.03,0.02
"100906A",1.73,2.05819818787825,-4.92081875395237,1.00432137378264,1.78,21.9619808069943,-10.419,2.603734,1.09688,0.84,0.0171997814615149,0.03,0.019906,0.023956,0.015473,0.22
"101219B",0.55,1.62273196516472,-5.67778070526608,-0.221848749616356,1.56,21.3920001167197,-12.03,3.87,0.97,0.58,0.217147240951626,0.16,0.02,0.02,0.01,0.07
"101225A",0.33,3.03662889536216,-5.72124639904717,-0.221848749616356,1.82,21.1177096786008,-14.1,5.38,0.7,0.7,0.0427174900232707,0.32,0.06,0.17,0.08,0.0303
"110205A",2.21,2.42618582524451,-4.76955107862173,0.556302500767287,1.8,21.3704298125407,-13.04,4.79,1.95,0.74,0.0241274712168473,0.04,0.06,0.03,0.11,0.04
"110213A",1.4607,1.68124123737559,-5.22914798835786,0.204119982655925,1.83,21.5670840328713,-11.5304,4.36285,1.91037,0.9,0.162860430713719,0.12,0.0418,0.03889,0.065815,0.06
"110422A",1.77,1.41329976408125,-4.38721614328026,1.48713837547719,0.86,22.0208831169582,-12.228,3.341312,0.628948,0.886,0.0141464000619952,0.1,0.131094,0.242676,0.035661,0.042
"110503A",1.613,1,-5,0.130333768495006,0.88,21.1363875861028,-12.984,4.715862,1.398045,0.8,0.0193019769734779,0.25,0.066674,0.06045,0.139784,0.04
"110715A",0.82,1.11394335230684,-4.92811799269387,1.73158876518674,1.25,22.0746007020993,-12.24,5.19,1.51,0.9,0.0088631526919031,0.12,0.06,0.06,0.09,0.22
"110731A",2.83,1.58883172559421,-5.22184874961636,1.04139268515823,1.15,21.9595412590652,-12.6474,4.116949,1.162251,0.65,0.0118443949609978,0.05,0.14345,0.236205,0.109516,0.07
"111107A",2.893,1.42488163663107,-6.05551732784983,0.0791812460476248,1.49,21.5667520502364,-12.5259,3.190433,0.733879,1,0.072382413650542,0.14,0.238146,0.380189,0.082265,0.09
"111209A",0.68,2.50514997831991,-4.44369749923271,-0.301029995663981,1.48,21.1400993248508,-12.22,4.38,1.33,1.05,0.0868588963806504,0.03,0.08,0.08,0.16,0.06
"111228A",0.714,2.00518051250378,-5.07058107428571,1.09342168516224,2.27,21.4134271831505,-12.0111,4.28017,0.93593,0.69,0.0175118742702924,0.06,0.00575,0.008735,0.005345,0.07
"011211A",2.14,2.43136376415899,-6.08039897621589,0.113943352306837,2.16,21.3989672022874,-13.52,5.23,1.98,0.41,0.0101787769196075,0.1,0.06,0.04,0.11,0.15
"120119A",3.1,2.40449161775869,-4.76955107862173,1.01283722470517,1.38,22.0220281244648,-12,3.44,1.51,0.89,0.0126493538418423,0.04,0.06,0.05,0.08,0.01
"120404A",2.87,1.68124123737559,-5.79588001734407,0.0791812460476248,1.85,21.7098353631218,-12.1911,3.966545,1.744036,1.05,0.072382413650542,0.13,0.046053,0.034115,0.085691,0.09
"120711A",1.405,2.06069784035361,-5.60205999132796,0.113943352306837,1.72,21.0685795178507,-12.9249,4.394018,1.107014,0.53,0.0930631032649825,0.22,0.108379,0.116386,0.197821,0.02
"120729A",0.8,1.97220283837906,-5.61978875828839,0.462397997898956,1.62,21.3479206443873,-12.03,3.81,2.13,0.89,0.0299513435795346,0.08,0.03,0.02,0.05,0.12
"120815A",2.36,0.986771734266245,-6.30980391997149,0.342422680822206,2.29,21.7724273330753,-12.3315,3.266303,0.6555,0.78,0.0592219748049889,0.23,0.015728,0.033134,0.020651,0.01
"120907A",0.97,1.22788670461367,-6.17392519729917,0.462397997898956,1.73,21.0438100974747,-12.0278,2.844131,0.787589,0.7,0.0599026871590692,0.25,0.078492,0.160635,0.055886,0.06
"121128A",2.2,1.36735592102602,-5.16115090926274,1.11058971029925,1.32,22.0402976733914,-11.4998,3.026683,0.954088,0.8,0.0134664955628915,0.18,0.117789,0.179004,0.16947,0.05
